OFFENCE_GROUP_CODE,SUB_CODE,OGRS3_WEIGHTING,SNSV_STATIC_WEIGHTING,SNSV_DYNAMIC_WEIGHTING,SNSV_VATP_STATIC_WEIGHTING,SNSV_VATP_DYNAMIC_WEIGHTING,OPD_VIOL_SEX
000,00,0,,,,,N
000,01,0,,,,,Y
001,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
001,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
001,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
002,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,04,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,05,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
003,06,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,04,0.2622,-0.028644236,0.130461601,0,0,N
004,05,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,06,-0.1214,-0.212258595,0.156493599,0,0,N
004,07,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,08,0.2622,-0.028644236,0.130461601,0,0,Y
004,09,0.2622,-0.028644236,0.130461601,0,0,Y
004,10,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
004,11,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
004,12,0.2622,-0.028644236,0.130461601,0,0,Y
004,18,0.2622,-0.028644236,0.130461601,0,0,N
004,19,0.2622,-0.028644236,0.130461601,0,0,N
005,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,04,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,05,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,06,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,07,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,08,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,09,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,10,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,11,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,13,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,14,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,15,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,16,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,17,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,18,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,19,0,0.019270382,-0.006538498,0.503126183,0.413159451,Y
005,20,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,21,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,22,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,23,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,24,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,25,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,26,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,27,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
005,28,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
006,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
006,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
006,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
006,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
006,04,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,04,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,05,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,06,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,07,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,08,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,09,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
007,10,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
007,11,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
007,12,0,0.019270382,-0.006538498,0.238802611,0.204895024,N
007,13,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,14,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,15,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,16,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
007,17,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,00,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,01,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,02,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,03,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,04,0,-0.028644236,0.130461601,0,0,Y
008,05,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,06,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
008,07,0,0.019270382,-0.006538498,0.238802611,0.204895024,Y
